Ancestor ID,FullName,PRIMARY County,Secondary County,Title,First Name,Nickname,Middle Name,Maiden Name,Surname,Suffix,Year Settled,Spouse,FIRST ADDED,2013,2014,2015,2016,2017,2018,2019,Total Applicants Using This Ancestor
anc00001,"AKERS, Thomas Sr.",Floyd,,,Thomas,,,,Akers,Sr.,1815,,2013,1,0,0,0,0,0,0,1
anc00002,"BAKER, Benjamin",Floyd,,,Benjamin,,,,Baker,,,,2013,1,0,0,0,0,0,0,1
anc00003,"MCCAFFERTY, Sarah (Chew)",Floyd,,,Sarah,,,Chew,McCafferty,,1826,"MCCAFFERTY, Abraham",2013,1,0,0,0,0,0,0,1
anc00004,"COLE, Stephen",Floyd,,,Stephen,,,,Cole,,,,2013,1,0,0,0,0,0,0,1
anc00005,"SAMPSON, Sarah (Coleman)",Floyd,,,Sarah,,,Coleman,Sampson,,,,2013,1,0,0,0,0,0,0,1
anc00006,"ENGLEMAN, Philip",Floyd,Harrison,,Philip,,,,Engleman,,,,2013,1,1,0,3,6,0,0,11
anc00007,"FISKE, Peleg",Floyd,,,Peleg,,,,Fiske,,,,2013,2,0,0,0,0,0,0,2
anc00008,"FISKE, Mary (Graves)",Floyd,,,Mary,,,Graves,Fiske,,,,2013,1,0,0,0,0,0,0,1
anc00009,"GRAY, Robert",Floyd,,,Robert,,,,Gray,,1819,,2013,1,0,0,0,0,0,0,1
anc00010,"GROCE, David",Floyd,,,David,,,,Groce,,1817,,2013,1,0,0,0,0,0,0,1
anc00011,"GULLETT, John Wesley Sr.",Floyd,,,John,,Wesley,,Gullett,Sr.,1830,,2013,1,0,0,0,0,0,0,1
anc00012,"GULLETT, John Wesley Jr.",Floyd,,,John,,Wesley,,Gullett,Jr.,1836,,2013,1,0,0,0,0,0,0,1
anc00013,"HEY, Joseph",Floyd,,,Joseph,,,,Hey,,1820,,2013,1,0,0,0,0,0,0,1
anc00014,"LAFOLLETTE, Robert",Floyd,,,Robert,,,,LaFollette,,,,2013,3,0,0,0,0,0,0,3
anc00015,"LAMB, Henry",Floyd,,,Henry,,,,Lamb,,,,2013,2,0,0,0,0,0,1,3
anc00016,"LEACH, John S.",Floyd,,,John,,S.,,Leach,,,,2013,1,0,0,0,0,0,0,1
anc00017,"MCCAFFERTY, Abraham",Floyd,,,Abraham,,,,McCafferty,,1805,"MCCAFFERTY, Sarah (Chew)",2013,2,0,0,0,0,0,0,2
anc00018,"MAYFIELD, Levi",Floyd,,,Levi,,,,Mayfield,,,,2013,1,0,0,0,0,0,0,1
anc00019,"VERNIA, Susanna (Piers)",Floyd,,,Susanna,,,Piers,Vernia,,,,2013,4,1,0,0,0,0,0,5
anc00020,"PIERS, Thomas",Floyd,,,Thomas,,,,Piers,,,,2013,4,0,0,0,0,0,0,4
anc00021,"RENN, Joseph",Floyd,,,Joseph,,,,Renn,,1839,,2013,1,0,0,0,0,0,0,1
anc00022,"RENN, Peter",Floyd,,,Peter,,,,Renn,,1839,,2013,1,0,0,0,0,0,0,1
anc00023,"SAMPSON, William",Floyd,,,William,,,,Sampson,,,,2013,1,0,0,0,0,0,0,1
anc00024,"SCOTT, John",Floyd,,,John,,,,Scott,,,,2013,1,1,0,0,0,0,0,2
anc00025,"SCOTT, Moses",Floyd,,,Moses,,,,Scott,,,,2013,7,0,3,0,0,0,0,10
anc00026,"SCRIBNER, Joel",Floyd,,,Joel,,,,Scribner,,,,2013,11,0,0,0,1,0,0,12
anc00027,"SMITH, Joseph T.",Floyd,,,Joseph,,T.,,Smith,,,,2013,1,0,0,0,0,0,0,1
anc00028,"SMITH, Martin",Floyd,,,Martin,,,,Smith,,,,2013,1,0,0,0,0,0,0,1
anc00029,"TULEY, Preston Floyd",Floyd,,,Preston,,Floyd,,Tuley,,,,2013,2,0,0,0,0,0,0,2
anc00030,"UTZ, Mary",Floyd,,,Mary,,,,Utz,,,,2013,1,0,0,0,0,0,0,1
anc00031,"VERNIA, Peter",Floyd,,,Peter,,,,Vernia,,,,2013,4,0,0,0,0,0,0,4
anc00032,"WHEELER, George",Floyd,,,George,,,,Wheeler,,,,2013,1,0,0,0,0,0,0,1
anc00033,"WOLFE, David",Floyd,,,David,,,,Wolfe,,,,2013,1,0,0,0,0,0,0,1
anc00034,"WOLFE, Peter W.",Floyd,,,Peter,,W.,,Wolfe,,,,2013,1,0,0,0,0,0,0,1
anc00035,"AMICK, Gideon",Clark,,,Gideon,,,,Amick,,,,2015,0,0,1,0,0,0,0,1
anc00036,"AMICK, John Dick",Clark,,,John,,Dick,,Amick,,,,2015,0,0,1,0,0,0,0,1
anc00037,"AMICK, Peter",Clark,,,Peter,,,,Amick,,,,2015,0,0,1,0,0,0,0,1
anc00038,"APPLEGATE, Samuel",Clark,,,Samuel,,,,Applegate,,,,2014,0,4,0,0,0,0,0,4
anc00039,"BUTTS, Benjamin",Clark,,,Benjamin,,,,Butts,,,,2014,0,2,0,0,0,0,0,2
anc00040,"CARR, Johnathan J.",Clark,,,Johnathan,,J.,,Carr,,,,2014,0,2,0,0,0,0,0,2
anc00041,"HANDSPIRE, Benjamin",Clark,,,Benjamin,,,,Handspire,,,,2015,0,0,1,0,0,0,0,1
anc00042,"HANDSPIRE, Jonas",Clark,,,Jonas,,,,Handspire,,,,2015,0,0,1,0,0,0,0,1
anc00043,"HANDSPIRE, Mary Barbara (Phillippi)",Clark,,,Mary,,Barbara,Phillippi,Handspire,,,,2015,0,0,1,0,0,0,0,1
anc00044,"JACKSON, Zephaniah",Clark,,,Zephaniah,,,,Jackson,,,,2015,0,0,2,1,0,0,0,3
anc00045,"LEE, Hannah P. (Butts)",Clark,,,Hannah,,P.,Butts,Lee,,,,2014,0,2,0,0,0,0,0,2
anc00046,"MCCLINTICK, John Jr.",Clark,,,John,,,,McClintick,Jr.,,,2015,0,0,1,0,0,0,0,1
anc00047,"MORRIS, Elizabeth (Applegate)",Clark,,,Elizabeth,,,Applegate,Morris,,,,2014,0,4,0,0,0,0,0,4
anc00048,"PETTIT, John",Clark,,,John,,,,Pettit,,,,2015,0,0,1,0,0,0,0,1
anc00049,"PHILLIPPI, Elizabeth (Whiteman)",Clark,,,Elizabeth,,,Whiteman,Phillippi,,,,2014,0,1,0,0,0,0,0,1
anc00050,"PHILLIPPI, Henry",Clark,,,Henry,,,,Phillippi,,,,2014,0,1,0,0,0,0,0,1
anc00051,"ROBINSON, Hamilton",Clark,,,Hamilton,,,,Robinson,,,,2015,0,0,1,0,0,0,0,1
anc00052,"BANET, Etienne",Floyd,,,Etienne,,,,Banet,,,,2015,0,0,7,0,0,0,0,7
anc00053,"DODGE, Joshua",Floyd,,,Joshua,,,,Dodge,,,,2015,0,0,1,0,0,0,0,1
anc00054,"FERGUSON, Isaac",Floyd,,,Isaac,,,,Ferguson,,,,2014,0,1,0,0,0,0,0,1
anc00055,"FERGUSON, Martha Jane (Breedlove)",Floyd,,,Martha,,Jane,Breedlove,Ferguson,,,,2014,0,1,0,0,0,0,0,1
anc00056,"JACKSON, Samuel",Floyd,,,Samuel,,,,Jackson,,,,2015,0,0,2,1,0,0,0,3
anc00057,"MARTIN, Madison",Floyd,,,Madison,,,,Martin,,,,2015,0,0,1,0,0,0,0,1
anc00058,"MCCUTCHEN, America (Scott)",Floyd,,,America,,,Scott,McCutchen,,,,2014,0,1,0,0,0,0,0,1
anc00059,"MCCUTCHEN, William S.",Floyd,,,William,,S.,,McCutchen,,,,2014,0,1,0,0,0,0,0,1
anc00060,"RAKESTRAW, Charles",Floyd,,,Charles,,,,Rakestraw,,,,2014,0,3,1,0,0,0,0,4
anc00061,"SCOTT, Alfred",Floyd,,,Alfred,,,,Scott,,,,2014,0,1,0,0,0,0,0,1
anc00062,"SCOTT, Mary E. (Lyons)",Floyd,,,Mary,,E.,Lyons,Scott,,,,2014,0,1,0,0,0,0,0,1
anc00063,"SCOTT, Pricilla (Lewis)",Floyd,,,Pricilla,,,Lewis,Scott,,,,2014,0,1,0,0,0,0,0,1
anc00064,"SCOTT, Robert",Floyd,,,Robert,,,,Scott,,,,2015,0,0,4,0,0,0,0,4
anc00065,"UTZ, Adam",Floyd,Harrison,,Adam,,,,Utz,,,,2015,0,0,1,0,1,1,0,3
anc00066,"WALTS, George Washington",Floyd,,,George,,Washington,,Walts,,,,2014,0,4,0,0,3,0,0,7
anc00067,"WALTS, Henry",Floyd,,,Henry,,,,Walts,,,,2014,0,4,0,0,0,0,0,4
anc00068,"WALTS, James",Floyd,,,James,,,,Walts,,,,2014,0,4,0,0,0,0,0,4
anc00069,"WALTS, John",Floyd,,,John,,,,Walts,,,,2014,0,4,0,0,0,0,0,4
anc00070,"AVERY, Joseph",Harrison,,,Joseph,,,,Avery,,,,2015,0,0,1,0,0,0,0,1
anc00071,"BROWN, Anna (Brashears)",Harrison,,,Anna,,,Brashears,Brown,,,,2015,0,0,1,0,0,0,0,1
anc00072,"BROWN, James H.",Harrison,,,James,,H.,,Brown,,,,2015,0,0,1,0,0,0,0,1
anc00073,"CRECELIUS, Jacob A.",Harrison,,,Jacob,,A.,,Crecelius,,,,2015,0,0,1,0,0,0,0,1
anc00074,"DEUTSCH, Anna Marie (Goetz)",Harrison,,,Anna,,Marie,Goetz,Deutsch,,,,2015,0,0,1,0,0,0,0,1
anc00075,"DEUTSCH, John George",Harrison,,,John,,George,,Deutsch,,,,2015,0,0,1,0,0,0,0,1
anc00076,"FARNSLEY, Joseph A.",Harrison,,,Joseph,,A.,,Farnsley,,,,2015,0,0,1,0,0,0,0,1
anc00077,"FARNSLEY, Joshua",Harrison,,,Joshua,,,,Farnsley,,,,2015,0,0,1,1,0,0,0,2
anc00078,"HUBBARD, James",Harrison,,,James,,,,Hubbard,,,,2015,0,0,1,0,0,1,0,2
anc00079,"JAMISON, George W.",Harrison,,,George,,W.,,Jamison,,,,2015,0,0,1,0,0,0,0,1
anc00080,"KEPLEY, Hannah (Frank)",Harrison,,,Hannah,,,Frank,Kepley,,,,2014,0,3,0,0,0,0,0,3
anc00081,"KEPLEY, John",Harrison,,,John,,,,Kepley,,,,2014,0,3,0,2,1,0,0,6
anc00082,"LEMMON, John Jr.",Harrison,,,John,,,,Lemmon,Jr.,,,2015,0,0,1,0,0,0,0,1
anc00083,"LOFTON, Isaac Sr.",Harrison,,,Isaac,,,,Lofton,Sr.,,,2015,0,0,1,0,0,0,0,1
anc00084,"MEYER, Elizabeth (Rhinehart)",Harrison,,,Elizabeth,,,Rhinehart,Meyer,,,,2015,0,0,1,0,0,0,0,1
anc00085,"SANDS, William",Harrison,,,William,,,,Sands,,,,2015,0,0,1,0,0,0,0,1
anc00086,"SMITH, Charles",Harrison,,,Charles,,,,Smith,,,,2015,0,0,1,2,0,0,0,3
anc00087,"SMITH, Henry",Harrison,,,Henry,,,,Smith,,,,2015,0,0,1,0,0,0,0,1
anc00088,"SMITH, Nancy (Taylor)",Harrison,,,Nancy,,,Taylor,Smith,,,,2015,0,0,1,0,0,0,0,1
anc00089,"SMITH, Rebecca (Kitterman)",Harrison,,,Rebecca,,,Kitterman,Smith,,,,2015,0,0,1,0,0,0,0,1
anc00090,"SMITH, Sarah (Albin)",Harrison,,,Sarah,,,Albin,Smith,,,,2015,0,0,1,6,0,0,0,7
anc00091,"SMITH, Stephen",Harrison,,,Stephen,,,,Smith,,,,2015,0,0,1,0,0,0,0,1
anc00092,"WOLF, John George",Harrison,,,John,,George,,Wolf,,,,2015,0,0,1,0,0,0,0,1
anc00093,"PENNINGTON, Dennis Lark",Harrison,,,Dennis,,Lark,,Pennington,,,,2016,0,0,0,3,0,0,0,3
anc00094,"HAAS, Philip",Harrison,,,Philip,,,,Haas,,,,2016,0,0,0,2,0,0,0,2
anc00095,"ATKINS, William",Floyd,,,William,,,,Atkins,,,,2016,0,0,0,1,0,0,0,1
anc00096,"ATKINS, Keziah (Hurley)",Floyd,,,Keziah,,,Hurley,Atkins,,,,2016,0,0,0,1,0,0,0,1
anc00097,"LAMB, Josiah",Floyd,,,Josiah,,,,Lamb,,,,2016,0,0,0,1,0,0,1,2
anc00098,"LAMB, Mary (Atkins)",Floyd,,,Mary,,,Atkins,Lamb,,,,2016,0,0,0,1,0,0,1,2
anc00099,"LAMB, Ruth (Pennington)",Floyd,,,Ruth,,,Pennington,Lamb,,,,2016,0,0,0,1,0,0,1,2
anc00100,"LAMB, William Henry",Floyd,,,William,,Henry,,Lamb,,,,2016,0,0,0,1,0,0,0,1
anc00101,"LAMB, Ruth (Yarbrough)",Floyd,,,Ruth,,,Yarbrough,Lamb,,,,2016,0,0,0,1,0,0,0,1
anc00102,"COLLINS, Mordecai",Floyd,,,Mordecai,,,,Collins,,,,2016,0,0,0,3,1,0,1,5
anc00103,"COLLINS, George",Floyd,,,George,,,,Collins,,,,2016,0,0,0,1,0,0,0,1
anc00104,"CHILDS, Obadiah",Floyd,,,Obadiah,,,,Childs,,,,2016,0,0,0,1,1,0,0,2
anc00105,"LANG, Francis C. Sr.",Floyd,,,Francis,,C.,,Lang,Sr.,,,2016,0,0,0,6,0,0,0,6
anc00106,"GUEST, John",Floyd,,,John,,,,Guest,,,,2016,0,0,0,1,0,0,0,1
anc00107,"GUEST, Hannah (Furnival)",Floyd,,,Hannah,,,Furnival,Guest,,,,2016,0,0,0,1,0,0,0,1
anc00108,"MCCULLOCH, Sarah (Guest)",Floyd,,,Sarah,,,Guest,McCulloch,,,,2016,0,0,0,1,0,0,0,1
anc00109,"MCCULLOCH, John",Floyd,,,John,,,,McCulloch,,,,2016,0,0,0,1,0,0,0,1
anc00110,"NAVILLE, Michael",Floyd,,,Michael,,,,Naville,,,,2016,0,0,0,1,0,0,0,1
anc00111,"HOLLIS, Thompson",Floyd,,,Thompson,,,,Hollis,,,,2016,0,0,0,1,1,0,0,2
anc00112,"HOLLIS, Rachel (Miller)",Floyd,,,Rachel,,,Miller,Hollis,,,,2016,0,0,0,1,0,0,0,1
anc00113,"MILLER, Isaac",Floyd,,,Isaac,,,,Miller,,,,2016,0,0,0,1,0,0,0,1
anc00114,"MILLER, Mary (Stockslager)",Floyd,,,Mary,,,Stockslager,Miller,,,,2016,0,0,0,1,0,0,0,1
anc00115,"SMITH, Joseph Sr.",Floyd,,,Joseph,,,,Smith,Sr.,,,2016,0,0,0,1,0,0,0,1
anc00116,"SMITH, Joseph Jr.",Floyd,,,Joseph,,,,Smith,Jr.,,,2016,0,0,0,1,0,0,0,1
anc00117,"SMITH, Sarah (Hebden)",Floyd,,,Sarah,,,Hebden,Smith,,,,2016,0,0,0,1,0,0,0,1
anc00118,"SMITH, Mary Elizabeth (Hollis)",Floyd,,,Mary,,Elizabeth,Hollis,Smith,,,,2016,0,0,0,1,0,0,0,1
anc00119,"RILEY, Michael Elijah",Floyd,,,Michael,,Elijah,,Riley,,,,2016,0,0,0,11,0,0,0,11
anc00120,"SMITH, George Sebastian",Floyd,,,George,,Sebastian,,Smith,,,,2016,0,0,0,1,0,0,0,1
anc00121,"SMITH, Peter Crescent",Floyd,,,Peter,,Crescent,,Smith,,,,2016,0,0,0,12,0,0,0,12
anc00122,"STUHLER, Lorenz",Floyd,,,Lorenz,,,,Stuhler,,,,2016,0,0,0,1,0,0,0,1
anc00123,"BOTTORFF, Henry",Clark,,,Henry,,,,Bottorff,,,,2016,0,0,0,1,0,0,0,1
anc00124,"BOTTORFF, Catharine (Hikes)",Clark,,,Catharine,,,Hikes,Bottorff,,,,2016,0,0,0,1,0,0,0,1
anc00125,"CARR, Absalom",Clark,,,Absalom,,,,Carr,,,,2016,0,0,0,1,0,0,0,1
anc00126,"CARR, Jane (Weir)",Clark,,,Jane,,,Weir,Carr,,,,2016,0,0,0,1,0,0,0,1
anc00127,"CARR, Thomas",Clark,,,Thomas,,,,Carr,,,,2016,0,0,0,1,0,0,0,1
anc00128,"CARR, Hannah (Coombs)",Clark,,,Hannah,,,Coombs,Carr,,,,2016,0,0,0,1,0,0,0,1
anc00129,"MCCOSKY, Thomas",Clark,,,Thomas,,,,McCosky,,,,2016,0,0,0,1,0,0,0,1
anc00130,"MCCOSKY, Julia (Carr)",Clark,,,Julia,,,Carr,McCosky,,,,2016,0,0,0,1,0,0,0,1
anc00131,"RODGERS, Samuel Houston",Clark,,,Samuel,,Houston,,Rodgers,,,,2016,0,0,0,1,0,0,0,1
anc00132,"RODGERS, Martha 'Patsy' (Brewer)",Clark,,,Martha,Patsy,,Brewer,Rodgers,,,,2016,0,0,0,1,0,0,0,1
anc00133,"AMICK, Martha (Rodgers)",Clark,,,Martha,,,Rodgers,Amick,,,,2016,0,0,0,1,0,0,0,1
anc00134,"MORGAN, Ebenezer",Clark,,,Ebenezer,,,,Morgan,,,,2016,0,0,0,3,0,0,0,3
anc00135,"MORGAN, Mary 'Polly' (Woodward)",Clark,,,Mary,Polly,,Woodward,Morgan,,,,2016,0,0,0,3,0,0,0,3
anc00136,"MORGAN, Sylvester Prickett",Clark,,,Sylvester,,Prickett,,Morgan,,,,2016,0,0,0,3,0,0,0,3
anc00137,"MORGAN, Sarah B.",Clark,,,Sarah,,B.,,Morgan,,,,2016,0,0,0,3,0,0,0,3
anc00138,"WILBUR, Virginia (Morgan)",Clark,,,Virginia,,,Morgan,Wilbur,,,,2016,0,0,0,3,0,0,0,3
anc00139,"ASHABRANNER, Henry",Clark,,,Henry,,,,Ashabranner,,,,2016,0,0,0,1,1,0,0,2
anc00140,"MCCLANAHAN, Samuel",Clark,,,Samuel,,,,McClanahan,,,,2016,0,0,0,1,0,0,0,1
anc00141,"FRY, John",Clark,,,John,,,,Fry,,,,2016,0,0,0,1,0,0,0,1
anc00142,"FRY, Sarah Eliza (Swartz)",Clark,,,Sarah,,Eliza,Swartz,Fry,,,,2016,0,0,0,1,0,0,0,1
anc00143,"MCCULLOCH, Martha Ann (Fry)",Clark,,,Martha,,Ann,Fry,McCulloch,,,,2016,0,0,0,1,0,0,0,1
anc00144,"MCCULLOCH, Hugh",Clark,,,Hugh,,,,McCulloch,,,,2016,0,0,0,1,0,0,0,1
anc00145,"MCCULLOCH, James",Clark,,,James,,,,McCulloch,,,,2016,0,0,0,1,0,0,0,1
anc00146,"MCCULLOCH, Catherine (Graham)",Clark,,,Catherine,,,Graham,McCulloch,,,,2016,0,0,0,1,0,0,0,1
anc00147,"SWARTZ, John",Clark,,,John,,,,Swartz,,,,2016,0,0,0,1,1,0,0,2
